Papers,Year,Amphibians,Lizards,Snakes,Crocodiles,Turtles,Multitaxa,Checklist,NewSp,EcolNat,EvolPhyBiog,Conserv,Morph,Molec,NewSpLoc,NewDist,Foreign,Filipino,Male,Female
"Abogado, R.P. and Dela Cruz, C.J.P. (2020). Geographic distribution: Laticauda colubrina (Yellow-lipped Sea Krait), Philippines, Biri Island, Northern Samar Province. Herpetological Review 51(4): 781.",2020,,,1,,,,1,,,,,,,,1,,1,1,
"Abogado, R.P. and Dela Cruz, C.J.P. (2020). Geographic distribution: Laticauda laticaudata (Blue-lipped Sea Krait), Philippines, Biri Island, Northern Samar Province. Herpetological Review 51(4): 781-782.",2020,,,1,,,,1,,,,,,,,1,,1,1,
"Abraham, R.K., Herr, M.W., Sterkhova, V.V., Otterholt, R., Siler, C.D., Sanguila, M.B. and Brown, R.M. (2021). Revisiting Linnaean and Wallacean shortfalls in Mindanao Fanged Frogs: the Limnonectes magnus complex consists of only two species. Herpetological Monographs 35(1): 112-140.",2021,1,,,,,,,,,1,,,,,,1,,1,
"Abreo, N.A.S., Macusi, E.D., Blatchley, D.D., Cuenca, G. 2016. Ingestion of Marine Plastic Debris by Green Turtle (Chelonia mydas) in Davao Gulf, Mindanao, Philippines. Philippine Journal of Science 145(1):17-23",2016,,,,,1,,,,,,1,,,,,,1,1,
"Acuña, D., Isagani, N., & Pitogo, K. M. (2021). Predation on a McClung’s Philippine False Coralsnake, Hemibungarus mcclungi (Weigmann 1835), by a Giant Spiny Centipede, Scolopendra spinosissima Kraepelin 1903, on Luzon Island, The Philippines. Reptiles & Amphibians, 28(3), 417–419. https://doi.org/10.17161/randa.v28i3.15782 (Original work published November 25, 2021)",2021,,,1,,,,,,1,,,,,,,,1,1,
"Alcala, A.C., Bucol, A.A., Alcala, E.L. & Brown, R.M. (2012a) Decreasing Population Size of the Philippine Limestone Frog, Platymantis insulatus. FrogLog, 48-49.",2012,1,,,,,,,,,,1,,,,,,1,1,
"Alcala, A.C., Bucol, A.A., Diesmos, A.C. & Brown, R.M. (2012b) Vulnerability of Philippine Amphibians to Climate Change. Philippine Journal of Science 141, 77-87.",2012,1,,,,,,,,,,1,,,,,,1,1,
"Alcala, E.L., Alcala, A.C. & Dolino, C.N. (2004) Amphibians and reptiles in tropical rainforest fragments on Negros Island, the Philippines. Environmental Conservation 31, 254-261.",2004,,,,,,1,1,,,,,,,,,,1,,1
"Alexander, A.M., Su, Y.-C., Oliveros, C.H., Olson, K.V., Travers, S.L. & Brown, R.M. (2017) Genomic data reveals potential for hybridization, introgression, and incomplete lineage sorting to confound phylogenetic relationships in an adaptive radiation of narrow-mouth frogs. Evolution 71, 475-488. https://doi.org/10.1111/evo.13133",2017,1,,,,,,,,,1,,,1,,,1,,1,
"Amat F, Escoriza D. Biogeographic Inferences on the Evolutionary History of the King Cobra (Ophiophagus hannah, Cantor 1836) Species Complex. Zool Stud. 2022 Jul 20;60:e28. doi: 10.6620/ZS.2022.61-28. PMID: 36245914; PMCID: PMC9522627.",2022,,,1,,,,,,,1,,,1,,,1,,1,
"Araujo, G. et al. 2016. Using minimally invasive techniques to determine green sea turtle Chelonia mydas life-history parameters. Journal of Experimental Marine Biology and Ecology 483:25 - 30. 10.1016/j.jembe.2016.06.004",2016,,,,,1,,,,,,1,,,,,1,,1,
"Araujo, G. et al. 2019. In-water methods reveal population dynamics of a green turtle Chelonia mydas foraging aggregation in the Philippines. Endangered Species Research 40. 10.3354/esr00989",2019,,,,,1,,,,1,,,,,,,1,,1,
"Arifin, U., Iskandar, D., Bickford, D., Brown, R., Meier, R. & Kutty, S. (2011) Phylogenetic relationships within the genus Staurois (Anura, Ranidae) based on 16S rRNA sequences. Zootaxa.",2011,1,,,,,,,,,1,,,1,,,1,,,1
"Ascano, C.P., Albutra, Q.B., Ansibat, V.V., Mugot, D.A. & Demayo, C.G. (2016) Reptile Assemblage Within and Outside the Hydraulicking Mining Area in Tumpagon, Cagayan de Oro City, Philippines. Advances in Environmental Biology 9, 260-269.",2016,,,,,,1,1,,,,,,,,,,1,1,
"Ates, F. & Delima, E. (2008) Assemblage and Microhabitats of Anurans from Mt. Sinaka, Arakan, Cotabato and Mt. Hamiguitan, Davao Oriental, Mindanao Island, Philippines. Journal of Nature Studies 7, 101-107.",2008,1,,,,,,1,,,,,,,,,,1,,1
"Auliya, M. 2007. An Identification Guide to the Tortoises and Freshwater Turtles of Brunei Darussalam, Indonesia, Malaysia, Papua New Guinea, Philippines, Singap",2007,,,,,1,,,,,,1,,,,,1,,1,
"Auliya, M., Altherr, S., Ariano-Sanchez, D., Baard, E.H., Brown, C., Brown, R.M., Cantu, J.-C., Gentile, G., Gildenhuys, P., Henningheim, E., Hintzmann, J., Kanari, K., Krvavac, M., Lettink, M., Lippert, J., Luiselli, L., Nilson, G., Nguyen, T.Q., Nijman, V., Parham, J.F., Pasachnik, S.A., Pedrono, M., Rauhaus, A., Cordova, D.R., Sanchez, M.-E., Schepp, U., van Schingen, M., Schneeweiss, N., Segniagbeto, G.H., Somaweera, R., Sy, E.Y., Turkozan, O., Vinke, S., Vinke, T., Vyas, R., Williamson, S. & Ziegler, T. (2016) Trade in live reptiles, its impact on wild populations, and the role of the European market. Biological Conservation 204, 103-119. https://doi.org/10.1016/j.biocon.2016.05.017",2016,,,,,,1,,,,,1,,,,,1,,1,
"Barley, A. J., Sanguila, M. B., & Brown, R. M. (2021). A new species of Sun Skink (Reptilia: Scincidae: Eutropis) from the Zamboanga Peninsula, southwestern Mindanao Island, Philippines. Philippine Journal of Systematic Biology, 14(2), 1-18.",2021,,1,,,,,,1,,,,,1,,,1,,1,
"Barley, A.J., Diesmos, A.C. & Brown, R.M. (2013a) The challenge of species delimitation at the extremes: diversification without morphological change in the Philippine sun skinks. Evolution 67, 3556-3572.",2013,,1,,,,,,,,1,,,1,,,1,,1,
"Barley, A.J., Diesmos, A.C., Siler, C.D., Martinez, C.M. & Brown, R.M. (2020) Taxonomic Revision of Philippine Sun Skinks (Reptilia: Squamata: Scincidae: Eutropis), and Descriptions of Eight New Species. Herpetological Monographs 34, 39-70. https://doi.org/10.1655/HERPMONOGRAPHS-D-19-00009.1",2020,,1,,,,,,1,,,,,1,,,1,,1,
"Barnes, C., Knierim, T. 2018. A novel cave habitat use and range extension for the cryptic snake Stegonotus muelleri (Serpentes: Colubridae). Phyllomedusa Journal of Herpetology 17(2):295-297. 10.11606/issn.2316-9079.v17i2p295-297",2018,,,1,,,,,,1,,,1,,1,,1,,1,
"Baron, E. M. D, Ruales, C. A. S., Tripole, C., Tagoon, M. D. T., & Susulan, T. B. (2022). Anurans of select green spaces of Davao City, Mindanao Island, Philippines. Biodiversitas Journal of Biological Diversity, 23(9).",2022,1,,,,,,1,,,,,,,,,,1,,1
"Baron, E.M.D., Marin, M.O.D., Logramonte, B.A. & Mohagan, A.B. (2021) Species Account of Anurans from the Western Slope of Mt. Kitanglad, Mindanao Island, Philippines. Asian Herpetological Research 12, 76-87. https://doi.org/10.16373/j.cnki.ahr.200049",2021,1,,,,,,1,,,,,,,,,,1,,1
